deal_title,territory,distributor_name,mg_amount,currency,status
The Last Witness,Domestic (US/Canada),Lionsgate Films,4500000,USD,active
The Last Witness,UK,StudioCanal,1200000,GBP,active
The Last Witness,Germany,StudioCanal,800000,EUR,active
The Last Witness,France,MK2 Films,600000,EUR,draft
Midnight in Marrakech,Domestic (US/Canada),A24 Films,3000000,USD,active
Midnight in Marrakech,UK,StudioCanal,900000,GBP,active
Midnight in Marrakech,France,MK2 Films,750000,EUR,active
The Garden of Bones,Domestic (US/Canada),Lionsgate Films,2500000,USD,active
The Garden of Bones,UK,Entertainment One,500000,GBP,active
Savage Coast,Domestic (US/Canada),Lionsgate Films,5000000,USD,active
Savage Coast,UK,StudioCanal,1500000,GBP,active
Savage Coast,Australia/NZ,Entertainment One,800000,AUD,draft
The Interpreter,Domestic (US/Canada),A24 Films,3500000,USD,completed
The Interpreter,UK,StudioCanal,1000000,GBP,completed
Paper Moon Rising,Domestic (US/Canada),A24 Films,1800000,USD,completed
