name,company,role,email,phone,contact_type,notes
Lionsgate Films,Lionsgate Entertainment,VP Sales,sales@lionsgate.com,+1-310-555-0101,distributor,Major US indie distributor. Strong horror/action slate.
StudioCanal,StudioCanal SA,Head of Acquisitions,acq@studiocanal.com,+33-1-555-0202,distributor,European major. Strong in UK/France/Germany/Australia.
Wild Bunch International,Wild Bunch,Sales Director,sales@wildbunch.eu,+33-1-555-0303,sales_agent,Cannes-based sales agent. Arthouse and auteur focus.
FilmNation Entertainment,FilmNation,CEO,info@filmnation.com,+1-212-555-0404,sales_agent,Premium indie sales. Strong festival track record.
Protagonist Pictures,Protagonist Pictures,Head of Sales,sales@protagonistpictures.com,+44-20-555-0505,sales_agent,UK-based. Quality-driven indie slate.
A24 Films,A24,Business Affairs,biz@a24films.com,+1-212-555-0606,distributor,Premium US distributor. Arthouse and genre crossover.
Blumhouse Productions,Blumhouse,President of Production,prod@blumhouse.com,+1-323-555-0707,producer,Low-budget horror specialist. High ROI model.
Plan B Entertainment,Plan B,Head of Development,dev@planb.com,+1-310-555-0808,producer,Brad Pitt's production company. Prestige drama focus.
Endeavor Content,Endeavor,Managing Director,content@endeavor.com,+1-310-555-0909,sales_agent,Agency-linked sales and packaging.
MK2 Films,MK2,Acquisitions,acq@mk2.com,+33-1-555-1010,distributor,French distributor/exhibitor. Art-house specialist.
Rocket Science,Rocket Science,Managing Director,info@rocket-science.net,+44-20-555-1111,sales_agent,London-based sales agent. Commercial independent.
Entertainment One,eOne (Hasbro),SVP Acquisitions,acq@eone.com,+1-416-555-1212,distributor,Canadian-based global distributor.
Voltage Pictures,Voltage Pictures,President,info@voltagepictures.com,+1-323-555-1313,sales_agent,Pre-sales specialist. Action/thriller focus.
Sierra/Affinity,Sierra/Affinity,CEO,info@sierra-affinity.com,+1-310-555-1414,sales_agent,Packaging and international sales.
Cohen Media Group,Cohen Media,Head of Distribution,dist@cohenmedia.net,+1-212-555-1515,distributor,Specialty US distributor.
Latham & Watkins LLP,Latham & Watkins,Entertainment Partner,ent@lw.com,+1-213-555-1616,legal,Top entertainment law firm.
Aon/Albert G. Ruben,Aon Entertainment,VP Film Insurance,film@aon.com,+1-818-555-1717,other,Leading entertainment insurer.
Film Finances Inc,Film Finances,President,info@filmfinances.com,+1-310-555-1818,other,Completion bond guarantor. Industry standard.
Creative Artists Agency,CAA,Motion Picture Talent,talent@caa.com,+1-424-555-1919,talent,Top talent agency.
Gersh Agency,The Gersh Agency,Film Department,film@gersh.com,+1-310-555-2020,talent,Full-service talent agency.
