title,project_type,genre,status,loan_amount,currency,interest_rate,term_months,borrower_name,producer,director,cast_summary,budget,territory,collateral_type,origination_date,maturity_date
The Last Witness,feature_film,Thriller,active,12000000,USD,9.50,18,Meridian Films LLC,Sarah Chen,David Fincher,"Saoirse Ronan, Oscar Isaac, Mark Ruffalo",22000000,"Domestic (US/Canada)",Pre-sales + tax credits,2025-09-15,2027-03-15
Midnight in Marrakech,feature_film,Drama,active,8000000,USD,8.75,24,Atlas Productions,Michael Barker,Luca Guadagnino,"Timothée Chalamet, Zendaya",15000000,"Domestic (US/Canada), UK, France",Pre-sales + equity,2025-11-01,2027-11-01
Neon Requiem,feature_film,Action,pipeline,18000000,USD,10.00,18,Apex Entertainment Corp,Jason Blum,Chad Stahelski,"John Boyega, Mads Mikkelsen, Ana de Armas",35000000,"Worldwide",Pre-sales + completion bond,2026-01-15,2027-07-15
The Garden of Bones,feature_film,Horror,active,5000000,USD,11.00,15,Darkwood Pictures,James Wan,Ari Aster,"Florence Pugh, Bill Skarsgård",9000000,"Domestic (US/Canada), UK",Pre-sales + tax credits,2025-08-01,2026-11-01
Counting Stars,feature_film,Comedy,pipeline,6000000,USD,8.50,20,Bright Light Films,Judd Apatow,Greta Gerwig,"Awkwafina, Pedro Pascal, Rachel McAdams",12000000,"Domestic (US/Canada)",Pre-sales,2026-02-01,2027-10-01
Echoes of Tomorrow,feature_film,Sci-Fi,pipeline,25000000,USD,9.00,24,Quantum Studios,Emma Thomas,Denis Villeneuve,"Dev Patel, Lupita Nyong'o, Cillian Murphy",50000000,"Worldwide",Pre-sales + equity + tax credits,2026-03-01,2028-03-01
The Beekeeper's Daughter,feature_film,Drama,active,4000000,EUR,7.50,18,Europa Films GmbH,Stefan Arndt,Thomas Vinterberg,"Lea Seydoux, Mads Mikkelsen",7500000,"Germany, France, Scandinavia",German tax credits + pre-sales,2025-10-01,2027-04-01
Savage Coast,feature_film,Action,active,15000000,USD,9.75,18,Pacific Rim Productions,David Ellison,Gareth Edwards,"Chris Hemsworth, Jenna Ortega",30000000,"Worldwide",Pre-sales + Australian offset,2025-07-15,2027-01-15
Red Meridian,feature_film,Western,pipeline,10000000,USD,8.25,24,Frontier Pictures,Scott Rudin,Kelly Reichardt,"Joaquin Phoenix, Lily Gladstone",18000000,"Domestic (US/Canada)",Pre-sales + NM tax credit,2026-04-01,2028-04-01
The Interpreter,feature_film,Thriller,closed,7000000,USD,9.00,18,Cipher Films Inc,Brian Grazer,Ridley Scott,"Jessica Chastain, Idris Elba",14000000,"Worldwide",Pre-sales + UK tax relief,2024-06-01,2025-12-01
Paper Moon Rising,feature_film,Drama,closed,3500000,USD,8.00,15,Harvest Moon Pictures,Dede Gardner,Barry Jenkins,"Colman Domingo, Danielle Deadwyler",6000000,"Domestic (US/Canada)",Pre-sales + GA tax credit,2024-09-01,2025-12-01
Underwater City,feature_film,Sci-Fi,declined,30000000,USD,10.50,24,Deep Blue Studios,Jerry Bruckheimer,James Cameron,"N/A - packaging stage",60000000,"Worldwide",Pre-sales + completion bond,2025-05-01,2027-05-01
