deal_title,subject,body,message_type,due_date,status
The Last Witness,Review completion bond terms,Completion bond from Film Finances needs review by legal team. Bond amount $22M.,task,2026-02-15,open
The Last Witness,UK pre-sale MG negotiation,StudioCanal offering £1.2M MG for UK rights. Need to counter at £1.5M.,note,,open
Midnight in Marrakech,Script delivery confirmation,Final shooting script delivered to A24 per distribution agreement terms.,note,,completed
Midnight in Marrakech,Insurance binder due,Production insurance binder from Aon needs to be filed before principal photography.,task,2026-03-01,open
Neon Requiem,Packaging status update,CAA confirmed John Boyega attached. Waiting on Mads Mikkelsen schedule confirmation.,note,,open
Neon Requiem,Budget review meeting,Schedule IC meeting to review $35M budget. Need to discuss VFX allocation.,task,2026-02-10,open
The Garden of Bones,GA tax credit filing,Georgia tax credit application filed. Expected processing 90-120 days.,note,,completed
The Garden of Bones,Collection follow-up: Lionsgate,US theatrical collection of $2.5M received. Verify against waterfall.,task,2026-02-28,open
Savage Coast,Australian offset application,PDV offset application submitted. 30% on qualifying AU spend.,note,,completed
Savage Coast,Second tranche disbursement,Production requesting second tranche of $5M for overseas shoot.,task,2026-01-15,open
Counting Stars,LOI from Greta Gerwig,Letter of Intent received from Greta Gerwig to direct. Pending formal deal memo.,note,,open
Echoes of Tomorrow,IC presentation prep,Prepare investment committee deck for $25M commitment. Include risk assessment.,task,2026-03-15,open
The Beekeeper's Daughter,German DFFF grant status,DFFF grant application pending. EUR 1.5M requested.,note,,open
Red Meridian,NM tax credit pre-qualification,New Mexico film office confirmed project qualifies for 25% tax credit.,note,,completed
The Interpreter,Deal closed — final reconciliation,All payments received. Loan fully repaid with interest. Close file.,note,,completed
